title,author(s),published__online_date,article_url,OnlineFirst (Y/N),volume,issue,in_scope(Y/NA),qualitative(Y/N),data(Y/N),code(Y/N),data + code,neither,data_gated(Y/N),data_source / apply_at,package_location,path_to_package,coverage_checked,notes
Fiscal Centralization and Inequality in Children’s Economic Mobility,Rourke O’Brien; Manuel Schechtl; Zachary Parolin,2025-01-07,https://journals.sagepub.com/doi/10.1177/00031224241303459,N,90,1,Y,N,N,N,N,Y,N,,,no DAS section on the SAGE page; no Crossref relation; no repo link on page,SAGE landing page (no DAS) + Crossref relation (none),"Quantitative: fiscal centralization vs spatial inequality in economic mobility (state/county; public tract-level mobility estimates). No Data Availability Statement section on the article page, no dataset DOI in Crossref relation, no repository link on the page => no package found. data=N, code=N. data_gated=N: underlying mobility estimates derive from public tract-level sources (not re-posted)."
"Sociological Solutions: Building Communities of Hope, Justice, and Joy",Joya Misra,2025-01-07,https://journals.sagepub.com/doi/10.1177/00031224241302828,N,90,1,NA,,,,,,,,,,SAGE landing page (abstract + section structure),"ASA presidential address (Misra) — a disciplinary essay/address, no original empirical analysis to reproduce => in_scope=NA."
"The Labor of Distinction: Butlers, Service Work, and the Production of Elite Lifestyles",Bryan Boyle; Dieter Vandebroeck,2025-01-07,https://journals.sagepub.com/doi/10.1177/00031224241305357,N,90,1,Y,Y,N,N,N,Y,,,,no DAS; no package,SAGE landing page (no DAS) + Crossref relation (none),"Enactive ethnography of the butler profession (lead author trained/worked as a butler). Qualitative empirical. No DAS, no deposit. data=N, code=N. data_gated=N/A (qualitative): confidential author-collected ethnographic/interview human-subjects data, no external route (discretionary access from the authors)."
The Risks of Renting on the Margins: Housing Informality and State Legibility in the COVID-19 Pandemic,Claire Laurier Decoteau; AJ Golio; Cal Lee Garrett,2025-01-10,https://journals.sagepub.com/doi/10.1177/00031224241307343,N,90,1,Y,Y,N,N,N,Y,,,,no DAS; no package,SAGE landing page (no DAS) + Crossref relation (none),"76 in-depth interviews with low-income renters + 25 with program staff (Chicago ERAP). Qualitative empirical. No DAS, no deposit. data=N, code=N. data_gated=N/A (qualitative): IRB-confidential interview data, no external route."
The Carceral Contradictions of Motherhood: How Mothers of Incarcerated Sons Parent in the Shadow of the Criminal Legal System,MacKenzie A. Christensen; Kristin Turney; Suyeon Park Jang,2025-01-17,https://journals.sagepub.com/doi/10.1177/00031224241307655,N,90,1,Y,Y,N,N,N,Y,,,,no DAS; no package,SAGE landing page (no DAS) + Crossref relation (none),"69 in-depth interviews with mothers of incarcerated men. Qualitative empirical. No DAS, no deposit. data=N, code=N. data_gated=N/A (qualitative): IRB-confidential interview data, no external route."
Role-Accumulation and Mental Health across the Life Course,Trenton D. Mize; Reilly Kincaid,2025-02-03,https://journals.sagepub.com/doi/10.1177/00031224241313394,N,90,2,Y,N,N,Y,N,N,Y,HILDA restricted data — apply via Melbourne Institute (melbourneinstitute.unimelb.edu.au/hilda/for-data-users),https://www.trentonmize.com/research,DAS -> author homepage replication (trentonmize.com/research),SAGE DAS + author homepage (trentonmize.com/research: replication + Role-Accumulation + .do files confirmed),"Quantitative: 21-wave HILDA panel, fixed-effects. DAS: replication/coding files for this article on the author's homepage; HILDA data restricted and not shared. code=Y (author's analysis .do files for this paper on trentonmize.com/research). data=N: HILDA microdata not deposited. data_gated=Y: HILDA is restricted-access (apply via Melbourne Institute)."
Keeping the Family Fortune: How Bureaucratic Practices Preserve Elite Multigenerational Wealth,Doron Shiffer-Sebba,2025-02-26,https://journals.sagepub.com/doi/10.1177/00031224251319001,N,90,2,Y,Y,N,N,N,Y,,,https://osf.io/dpb3v/,DAS -> OSF node dpb3v (view-only),"SAGE DAS + OSF API (dpb3v: interview_guides.pdf, coding_schema.pdf)","Ethnography of a wealth manager + interviews. Qualitative. DAS -> OSF dpb3v, which deposits ONLY interview_guides.pdf + coding_schema.pdf (the interview guide + a qualitative coding scheme) — NOT the analysis data (transcripts) and NOT executable code. data=N, code=N. data_gated=N/A (qualitative): confidential interview/ethnographic human-subjects data not deposited."
Global Value Chains and Union Decline in Rich Democracies,Matthew C. Mahutga; Manjing Gao; Roshan K. Pandian,2025-02-27,https://journals.sagepub.com/doi/10.1177/00031224251315496,N,90,2,Y,N,N,N,N,Y,N,,,no DAS; no package,SAGE landing page (no DAS) + Crossref relation (none),"Quantitative: IV design, cross-national panel of unionization vs LDC trade. No DAS, no dataset DOI, no repo link => no package found. data=N, code=N. data_gated=N: underlying cross-national trade/union-density series are public sources (not re-posted)."
"Religion, Perceptions of Scientists’ Moral Culture, and Support for Science in the United States",Timothy L. O’Brien; Shiri Noy,2025-03-12,https://journals.sagepub.com/doi/10.1177/00031224251316904,N,90,2,Y,N,N,N,N,Y,Y,corresponding author (Timothy L. O'Brien / Shiri Noy) — available on reasonable request,,DAS -> available on request,SAGE DAS (available upon request from corresponding author),"Quantitative: probability sample of US adults (n=1,513), SEM. DAS: data 'available from the corresponding author on reasonable request' — no deposit. data=N, code=N. data_gated=Y: author-collected survey data not publicly available; access only on request to the corresponding author."
Time’s Up? How Temporal Maps of Climate Change Shape Climate Action,Ioana Sendroiu; Amalia Álvarez-Benjumea; Fabian Winter,2025-03-12,https://journals.sagepub.com/doi/10.1177/00031224251320103,N,90,2,Y,N,Y,Y,Y,N,N,,https://osf.io/jsypa/,DAS -> OSF node jsypa (view-only),"SAGE DAS + OSF API (jsypa: master.csv/.dta, data_preparation.do, main_analyses.do, codebook.html)","Quantitative: survey on temporal maps and climate action. DAS -> OSF jsypa, which physically deposits the analysis data (master.csv 415KB, master.dta) AND the analysis code (data_preparation.do, main_analyses.do) + codebook. data=Y, code=Y. data_gated=N: open, freely downloadable OSF deposit."
(Not) Getting What You Deserve: How Misrecognized Evaluators Reproduce Misrecognition in Peer Evaluations,Mabel Abraham; Tristan L. Botelho; James T. Carter,2025-03-23,https://journals.sagepub.com/doi/10.1177/00031224251318051,N,90,3,Y,N,Y,Y,Y,N,N,,https://osf.io/h6nfr/?view_only=86cb1887abab43d2a518e321549f34aa,"data availability statement -> OSF node h6nfr (view-only) -> ""Data and Code"" folder -> Study 2 / Study 3 subfolders","captured DAS + abstract; OSF API v2 (nodes/h6nfr/files/osfstorage with view_only token), recursed into ""Data and Code"" -> Study 2 and Study 3 folders","DAS points to OSF h6nfr (view-only token). Verified via OSF API. Root contains prereg PDFs (e.g. Amendment_PE_PreReg.pdf) plus a ""Data and Code"" folder. That folder has two subfolders: Study 2 (EvaluatorMisrecognitionS2MainResultsDO.do, EvaluatorMisrecognitionS2MainResultsData.dta) and Study 3 (EvaluatorMisrecognitionS3MainResultsDO.do, EvaluatorMisrecognitionS3MainResultsData.dta). data=Y: authors physically deposited the .dta analysis-data files for Studies 2 and 3. code=Y: .do Stata scripts reproduce this paper's main results. data_gated=N: the experimental data is an open OSF deposit, freely downloadable via the view-only link (Study 1's quasi-natural-experiment data is not in the package, but deposit of Studies 2/3 data suffices for data=Y). qualitative=N: preregistered multistage experiments + quasi-natural experiment, quantitative."
Essentializing Merit: Disability and Exclusion in Elite Private School Admissions,Estela B. Diaz; Lauren A. Rivera,2025-03-25,https://journals.sagepub.com/doi/10.1177/00031224251326096,N,90,3,Y,Y,N,N,N,Y,,,SAGE online supplement (interview schedule of questions only); no replication package deposited.,DAS -> online supplement (interview schedule only); Crossref relation empty; no OSF/OpenICPSR match,Captured DAS + abstract; Crossref works API message.relation (empty); OSF nodes title search (no match); OpenICPSR search (blocked 403); no repository links on page,"Qualitative interview study (Diaz & Rivera) of elite private-school admissions personnel on disability-based exclusion; primary evidence is interviews interpreted directly -> in_scope=Y, qualitative=Y. DAS states only ""The interview schedule of questions is available in the online supplement"" — an interview guide, which the codebook explicitly says is NOT analysis data, so data=N. No analysis data files (transcripts/coded data) deposited. No code deposited (qualitative study) -> code=N. Crossref message.relation empty (no dataset DOI); OSF title search returned no node; no repo links on landing page -> no replication package exists. data_gated=N/A (qualitative) because the underlying evidence is author-collected, IRB-protected, confidential human-subjects interview data — inherently restricted with no deposit and no external application route (discretionary access to the authors only)."
Making Sense of Honor Killings,Ozan Aksoy; Aron Szekely,2025-04-11,https://journals.sagepub.com/doi/10.1177/00031224251324504,N,90,3,Y,N,Y,Y,Y,N,N,,https://osf.io/smjnu/,data availability statement -> OSF project smjnu,"captured DAS + abstract; OSF API (api.osf.io nodes/smjnu/files/osfstorage/ root + children/); opened ReadMe.txt, KCO-replicate-Feb25.do, HBV-replicate-Feb25.do file contents","DAS links to OSF osf.io/smjnu/. Verified via OSF API: 4 files at osfstorage root, no child components. Opened ReadMe.txt (states package replicates Aksoy & Szekely 2025, ASR), KCO-replicate-Feb25.do, and HBV-replicate-Feb25.do. data=Y: kco.dta (694KB Stata) is the authors' own honor-killings dataset from Turkey physically deposited in the package. code=Y: two Stata do-files reproduce this paper's results (KCO do-file runs Poisson models on kco.dta; HBV do-file constructs variables and models on the Pew survey). The Pew World's Muslims dataset is NOT deposited — ReadMe/HBV do-file point the user to download it free from pewresearch.org after accepting terms — a pointer, but it does not flip data to N because kco.dta is deposited. qualitative=N: quantitative Poisson count models plus statistical models on the Pew survey. data_gated=N: kco.dta is openly deposited/public; the Pew dataset is genuinely public, freely downloadable to any registered user after accepting Pew's terms (ordinary free registration, not a DUA/restricted register/proprietary source), so no real access gate."
Culture and Immigrant Selectivity in Shaping Asian American Education: Evidence from Historical Census Data,ChangHwan Kim,2025-04-14,https://journals.sagepub.com/doi/10.1177/00031224251325259,N,90,4,Y,N,N,Y,N,N,N,,http://osf.io/adwzn,data availability statement -> OSF node adwzn,"captured DAS + abstract; OSF API (api.osf.io/v2/nodes/adwzn) osfstorage root listing — 8 files, all code; downloaded and read AAEd1940_Instruction.txt","In-scope quantitative status-attainment analysis of second-generation Asian Americans using full-count 1940 Census matched to 1930 (IPUMS USA MLP) + Barro-Lee. Verified OSF node adwzn via api.osf.io: osfstorage root holds 8 files, all Stata code plus one instruction file — AAEd1940_data_Step1_Linked.do, AAEd1940_data_Step2_PopSize.do, AAEd1940_data_Step3_EduReturn.do, AAEd1940_data_Step4_BarroLee.do, AAEd1940_data_Step5_LivingwParents.do, AAEd1940_data_Step6_RecodeMerge.do, AAEd1940_analysis.do, and AAEd1940_Instruction.txt. Opened AAEd1940_Instruction.txt (author ChangHwan Kim, chkim@ku.edu): it directs users to download the main data from IPUMS USA (https://usa.ipums.org/usa/), MLP programs/data from https://usa.ipums.org/usa/mlp/mlp.shtml, and Barro-Lee from http://barrolee.com/, then run the 6 build do-files and analysis.do. code=Y: the 7 .do files are the authors' own scripts reproducing this paper. data=N: no analysis data files are physically deposited — the package only points to IPUMS/Barro-Lee for the user to fetch (DAS: ""raw data available from IPUMS USA""). data_gated=N: underlying sources are public open archives (IPUMS USA full-count 1940 Census / MLP and Barro-Lee are freely available with free registration, which is a platform login, not a data gate)."
Positioning Stories: Accounting for Insecure Work,Kathleen Griesbach,2025-04-21,https://journals.sagepub.com/doi/10.1177/00031224251328393,N,90,3,Y,Y,N,N,N,Y,,,none found,captured landing page had no DAS and no repo links -> Crossref message.relation empty (no dataset DOI) -> OSF title/keyword search negative -> GitHub search negative -> conclude no package,captured DAS (none) + abstract; Crossref works API (relation + link fields); OSF API title/keyword search; GitHub repo search,"Original empirical qualitative study: 120 interviews with four groups of precarious workers (TX agricultural/oilfield; NYC adjuncts/delivery), interpreted directly -> in_scope=Y, qualitative=Y. No replication package located: captured SAGE landing page has no Data Availability Statement and no repository links; Crossref message.relation is empty (no linked dataset DOI), message.link holds only SAGE full-text/PDF mining URLs; OSF API search on ""Positioning Stories"" and ""Insecure Work"" returned no matching nodes; GitHub repo search returned only an unrelated repo. No repository files were opened because none exist. data=N and code=N (nothing deposited). data_gated=N/A (qualitative): underlying evidence is author-collected, IRB-protected human-subjects interview transcripts, inherently confidential; no package and no external application route, so access is discretionary through the author (Kathleen Griesbach, UT Austin). Single author; ASR vol 90 issue 3, published-online 2025-04-21."
Frame Backfire: The Trouble with Civil Rights Appeals in the Contemporary United States,Fabiana Silva; Irene Bloemraad; Kim Voss,2025-05-16,https://journals.sagepub.com/doi/10.1177/00031224251333087,N,90,3,Y,N,Y,Y,Y,N,N,,https://osf.io/amxdb/,data availability statement -> OSF node amxdb (private/auth-walled),"captured ASR DAS + abstract; OSF API (nodes/amxdb, files/osfstorage, children — HTTP 401 x4, control node 3mcv5 OK); OSF public search by title; Wayback (no snapshot); Crossref /works message.relation (empty)","Quantitative study: two large-scale survey experiments on civil rights framing (in_scope=Y, qualitative=N). Captured ASR DAS states verbatim: ""Replication materials (data and code) available at https://osf.io/amxdb/."" I could not list file names because OSF node amxdb is private: api.osf.io returned HTTP 401 ""Authentication credentials were not provided"" on the node, /files/osfstorage/, and /children/ endpoints across 4 attempts, while control public node 3mcv5 (""Countervailing Powers"") returned normally, confirming the API is up and the node itself is auth-walled. No Wayback snapshot of osf.io/amxdb; OSF public search by title and Crossref message.relation returned nothing. Per the osf-repository skill's private-node rule (do not invent a deferral; code from the DAS statement of what is deposited), the DAS explicitly names BOTH data and code as deposited replication materials -> data=Y, code=Y. data_gated=N: the underlying data is the authors' own de-identified survey-experiment microdata presented as openly-provided replication materials, not a restricted register/DUA/proprietary/confidential source; the node's current private status reads as a pre-publication embargo, not a data-access gate (no application route named). The OSF/SocArXiv preprint tdkf3 is the manuscript, not the package. Caveat: file-level contents unverified due to the private node."
